  
       XFOIL         Version 6.99
  
 Calculated polar for: CLARK Y AIRFOIL                                 
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
   2.500   0.7259   0.00643   0.00210  -0.0941   0.5048   0.9949
   2.750   0.7622   0.00663   0.00218  -0.0961   0.4816   0.9978
   3.000   0.7987   0.00689   0.00229  -0.0982   0.4457   1.0000
   3.250   0.8152   0.00717   0.00239  -0.0959   0.4100   1.0000
   3.500   0.8322   0.00743   0.00251  -0.0937   0.3822   1.0000
   3.750   0.8514   0.00762   0.00261  -0.0919   0.3652   1.0000
   4.000   0.8709   0.00781   0.00273  -0.0902   0.3507   1.0000
   4.250   0.8903   0.00801   0.00286  -0.0885   0.3375   1.0000
   4.500   0.9111   0.00816   0.00299  -0.0870   0.3291   1.0000
   4.750   0.9311   0.00836   0.00313  -0.0854   0.3199   1.0000
   5.000   0.9532   0.00847   0.00325  -0.0842   0.3146   1.0000
   5.250   0.9742   0.00864   0.00339  -0.0828   0.3078   1.0000
   5.500   0.9946   0.00884   0.00355  -0.0813   0.2998   1.0000
   5.750   1.0173   0.00895   0.00367  -0.0802   0.2956   1.0000
   6.000   1.0381   0.00915   0.00383  -0.0788   0.2853   1.0000
   6.250   1.0595   0.00933   0.00400  -0.0775   0.2748   1.0000
   6.500   1.0802   0.00955   0.00417  -0.0762   0.2636   1.0000
   6.750   1.1020   0.00973   0.00434  -0.0750   0.2548   1.0000
   7.000   1.1223   0.00998   0.00453  -0.0735   0.2424   1.0000
   7.250   1.1427   0.01023   0.00473  -0.0721   0.2276   1.0000
   7.500   1.1602   0.01063   0.00500  -0.0703   0.2046   1.0000
   7.750   1.1743   0.01120   0.00539  -0.0678   0.1725   1.0000
   8.000   1.1872   0.01180   0.00585  -0.0652   0.1450   1.0000
   8.250   1.1991   0.01233   0.00625  -0.0622   0.1240   1.0000
   8.500   1.2121   0.01282   0.00664  -0.0596   0.1073   1.0000
   8.750   1.2270   0.01326   0.00703  -0.0573   0.0948   1.0000
   9.000   1.2418   0.01373   0.00743  -0.0551   0.0846   1.0000
   9.250   1.2588   0.01410   0.00780  -0.0533   0.0769   1.0000
   9.500   1.2733   0.01461   0.00824  -0.0511   0.0672   1.0000
   9.750   1.2865   0.01521   0.00877  -0.0488   0.0539   1.0000
  10.000   1.2881   0.01645   0.00976  -0.0449   0.0266   1.0000
  -4.750  -0.0881   0.01048   0.00498  -0.0941   0.8371   0.0300
  -4.500  -0.0683   0.00959   0.00396  -0.0924   0.8269   0.0309
  -4.250  -0.0468   0.00900   0.00325  -0.0910   0.8172   0.0332
  -4.000  -0.0225   0.00876   0.00298  -0.0902   0.8067   0.0353
  -3.750   0.0025   0.00861   0.00276  -0.0895   0.7971   0.0367
  -3.500   0.0278   0.00847   0.00258  -0.0888   0.7877   0.0380
  -3.250   0.0530   0.00836   0.00240  -0.0881   0.7784   0.0387
  -3.000   0.0786   0.00824   0.00225  -0.0875   0.7688   0.0392
  -2.750   0.1037   0.00816   0.00211  -0.0868   0.7586   0.0397
  -2.500   0.1292   0.00807   0.00197  -0.0862   0.7476   0.0400
  -2.250   0.1542   0.00798   0.00181  -0.0854   0.7373   0.0408
  -2.000   0.1800   0.00787   0.00167  -0.0848   0.7281   0.0422
  -1.750   0.2053   0.00782   0.00157  -0.0841   0.7193   0.0444
  -1.500   0.2312   0.00771   0.00149  -0.0836   0.7107   0.0485
  -1.250   0.2553   0.00754   0.00141  -0.0827   0.7014   0.0790
  -1.000   0.2800   0.00734   0.00134  -0.0820   0.6929   0.1220
  -0.750   0.3028   0.00710   0.00130  -0.0810   0.6826   0.1937
  -0.500   0.3270   0.00693   0.00129  -0.0802   0.6729   0.2513
  -0.250   0.3508   0.00683   0.00128  -0.0793   0.6617   0.2994
   0.000   0.3753   0.00670   0.00127  -0.0786   0.6519   0.3480
   0.250   0.3975   0.00652   0.00128  -0.0774   0.6411   0.4266
   0.500   0.4190   0.00624   0.00130  -0.0761   0.6309   0.5367
   0.750   0.4368   0.00594   0.00133  -0.0739   0.6197   0.6641
   1.000   0.4533   0.00562   0.00138  -0.0713   0.6089   0.7894
   1.250   0.5006   0.00544   0.00155  -0.0754   0.5954   0.9336
   1.500   0.5636   0.00562   0.00165  -0.0831   0.5787   0.9612
   1.750   0.6048   0.00582   0.00177  -0.0859   0.5622   0.9758
   2.000   0.6456   0.00603   0.00189  -0.0887   0.5438   0.9840
   2.250   0.6837   0.00624   0.00202  -0.0909   0.5251   0.9901
   2.500   0.7259   0.00643   0.00210  -0.0941   0.5048   0.9949
   2.750   0.7622   0.00663   0.00218  -0.0961   0.4816   0.9978
   3.000   0.7987   0.00689   0.00229  -0.0982   0.4457   1.0000
   3.250   0.8152   0.00717   0.00239  -0.0959   0.4100   1.0000
   3.500   0.8322   0.00743   0.00251  -0.0937   0.3822   1.0000
   3.750   0.8514   0.00762   0.00261  -0.0919   0.3652   1.0000
   4.000   0.8709   0.00781   0.00273  -0.0902   0.3507   1.0000
   4.250   0.8903   0.00801   0.00286  -0.0885   0.3375   1.0000
   4.500   0.9111   0.00816   0.00299  -0.0870   0.3291   1.0000
   4.750   0.9311   0.00836   0.00313  -0.0854   0.3199   1.0000
   5.000   0.9532   0.00847   0.00325  -0.0842   0.3146   1.0000
   5.250   0.9742   0.00864   0.00339  -0.0828   0.3078   1.0000
   5.500   0.9946   0.00884   0.00355  -0.0813   0.2998   1.0000
   5.750   1.0173   0.00895   0.00367  -0.0802   0.2956   1.0000
   6.000   1.0381   0.00915   0.00383  -0.0788   0.2853   1.0000
   6.250   1.0595   0.00933   0.00400  -0.0775   0.2748   1.0000
   6.500   1.0802   0.00955   0.00417  -0.0762   0.2636   1.0000
   6.750   1.1020   0.00973   0.00434  -0.0750   0.2548   1.0000
   7.000   1.1223   0.00998   0.00453  -0.0735   0.2424   1.0000
   7.250   1.1427   0.01023   0.00473  -0.0721   0.2276   1.0000
   7.500   1.1602   0.01063   0.00500  -0.0703   0.2046   1.0000
   7.750   1.1743   0.01120   0.00539  -0.0678   0.1725   1.0000
   8.000   1.1872   0.01180   0.00585  -0.0652   0.1450   1.0000
  -4.750  -0.0881   0.01048   0.00498  -0.0941   0.8371   0.0300
  -4.500  -0.0683   0.00959   0.00396  -0.0924   0.8269   0.0309
  -4.250  -0.0468   0.00900   0.00325  -0.0910   0.8172   0.0332
  -4.000  -0.0225   0.00876   0.00298  -0.0902   0.8067   0.0353
  -3.750   0.0025   0.00861   0.00276  -0.0895   0.7971   0.0367
  -3.500   0.0278   0.00847   0.00258  -0.0888   0.7877   0.0380
  -3.250   0.0530   0.00836   0.00240  -0.0881   0.7784   0.0387
  -3.000   0.0786   0.00824   0.00225  -0.0875   0.7688   0.0392
  -2.750   0.1037   0.00816   0.00211  -0.0868   0.7586   0.0397
  -2.500   0.1292   0.00807   0.00197  -0.0862   0.7476   0.0400
  -2.250   0.1542   0.00798   0.00181  -0.0854   0.7373   0.0408
  -2.000   0.1800   0.00787   0.00167  -0.0848   0.7281   0.0422
  -1.750   0.2053   0.00782   0.00157  -0.0841   0.7193   0.0444
  -1.500   0.2312   0.00771   0.00149  -0.0836   0.7107   0.0485
  -1.250   0.2553   0.00754   0.00141  -0.0827   0.7014   0.0790
  -1.000   0.2800   0.00734   0.00134  -0.0820   0.6929   0.1220
  -0.750   0.3028   0.00710   0.00130  -0.0810   0.6826   0.1937
  -0.500   0.3270   0.00693   0.00129  -0.0802   0.6729   0.2513
  -0.250   0.3508   0.00683   0.00128  -0.0793   0.6617   0.2994
   0.000   0.3753   0.00670   0.00127  -0.0786   0.6519   0.3480
   0.250   0.3975   0.00652   0.00128  -0.0774   0.6411   0.4266
   0.500   0.4190   0.00624   0.00130  -0.0761   0.6309   0.5367
   0.750   0.4368   0.00594   0.00133  -0.0739   0.6197   0.6641
   1.000   0.4533   0.00562   0.00138  -0.0713   0.6089   0.7894
   1.250   0.5006   0.00544   0.00155  -0.0754   0.5954   0.9336
   1.500   0.5636   0.00562   0.00165  -0.0831   0.5787   0.9612
   1.750   0.6048   0.00582   0.00177  -0.0859   0.5622   0.9758
   2.000   0.6456   0.00603   0.00189  -0.0887   0.5438   0.9840
   2.250   0.6837   0.00624   0.00202  -0.0909   0.5251   0.9901
   2.500   0.7259   0.00643   0.00210  -0.0941   0.5048   0.9949
   2.750   0.7622   0.00663   0.00218  -0.0961   0.4816   0.9978
   3.000   0.7987   0.00689   0.00229  -0.0982   0.4457   1.0000
   3.250   0.8152   0.00717   0.00239  -0.0959   0.4100   1.0000
   3.500   0.8322   0.00743   0.00251  -0.0937   0.3822   1.0000
   3.750   0.8514   0.00762   0.00261  -0.0919   0.3652   1.0000
   4.000   0.8709   0.00781   0.00273  -0.0902   0.3507   1.0000
   4.250   0.8903   0.00801   0.00286  -0.0885   0.3375   1.0000
   4.500   0.9111   0.00816   0.00299  -0.0870   0.3291   1.0000
   4.750   0.9311   0.00836   0.00313  -0.0854   0.3199   1.0000
   5.000   0.9532   0.00847   0.00325  -0.0842   0.3146   1.0000
   5.250   0.9742   0.00864   0.00339  -0.0828   0.3078   1.0000
   5.500   0.9946   0.00884   0.00355  -0.0813   0.2998   1.0000
   5.750   1.0173   0.00895   0.00367  -0.0802   0.2956   1.0000
   6.000   1.0381   0.00915   0.00383  -0.0788   0.2853   1.0000
   6.250   1.0595   0.00933   0.00400  -0.0775   0.2748   1.0000
   6.500   1.0802   0.00955   0.00417  -0.0762   0.2636   1.0000
   6.750   1.1020   0.00973   0.00434  -0.0750   0.2548   1.0000
   7.000   1.1223   0.00998   0.00453  -0.0735   0.2424   1.0000
   7.250   1.1427   0.01023   0.00473  -0.0721   0.2276   1.0000
   7.500   1.1602   0.01063   0.00500  -0.0703   0.2046   1.0000
   7.750   1.1743   0.01120   0.00539  -0.0678   0.1725   1.0000
   8.000   1.1872   0.01180   0.00585  -0.0652   0.1450   1.0000
  -4.750  -0.0881   0.01048   0.00498  -0.0941   0.8371   0.0300
  -4.500  -0.0683   0.00959   0.00396  -0.0924   0.8269   0.0309
  -4.250  -0.0468   0.00900   0.00325  -0.0910   0.8172   0.0332
  -4.000  -0.0225   0.00876   0.00298  -0.0902   0.8067   0.0353
  -3.750   0.0025   0.00861   0.00276  -0.0895   0.7971   0.0367
  -3.500   0.0278   0.00847   0.00258  -0.0888   0.7877   0.0380
  -3.250   0.0530   0.00836   0.00240  -0.0881   0.7784   0.0387
  -3.000   0.0786   0.00824   0.00225  -0.0875   0.7688   0.0392
  -2.750   0.1037   0.00816   0.00211  -0.0868   0.7586   0.0397
  -2.500   0.1292   0.00807   0.00197  -0.0862   0.7476   0.0400
  -2.250   0.1542   0.00798   0.00181  -0.0854   0.7373   0.0408
  -2.000   0.1800   0.00787   0.00167  -0.0848   0.7281   0.0422
  -1.750   0.2053   0.00782   0.00157  -0.0841   0.7193   0.0444
  -1.500   0.2312   0.00771   0.00149  -0.0836   0.7107   0.0485
  -1.250   0.2553   0.00754   0.00141  -0.0827   0.7014   0.0790
  -1.000   0.2800   0.00734   0.00134  -0.0820   0.6929   0.1220
  -0.750   0.3028   0.00710   0.00130  -0.0810   0.6826   0.1937
  -0.500   0.3270   0.00693   0.00129  -0.0802   0.6729   0.2513
  -0.250   0.3508   0.00683   0.00128  -0.0793   0.6617   0.2994
   0.000   0.3753   0.00670   0.00127  -0.0786   0.6519   0.3480
   0.250   0.3975   0.00652   0.00128  -0.0774   0.6411   0.4266
   0.500   0.4190   0.00624   0.00130  -0.0761   0.6309   0.5367
   0.750   0.4368   0.00594   0.00133  -0.0739   0.6197   0.6641
   1.000   0.4533   0.00562   0.00138  -0.0713   0.6089   0.7894
   1.250   0.5006   0.00544   0.00155  -0.0754   0.5954   0.9336
   1.500   0.5636   0.00562   0.00165  -0.0831   0.5787   0.9612
   1.750   0.6048   0.00582   0.00177  -0.0859   0.5622   0.9758
   2.000   0.6456   0.00603   0.00189  -0.0887   0.5438   0.9840
   2.250   0.6837   0.00624   0.00202  -0.0909   0.5251   0.9901
   2.500   0.7259   0.00643   0.00210  -0.0941   0.5048   0.9949
   2.750   0.7622   0.00663   0.00218  -0.0961   0.4816   0.9978
   3.000   0.7987   0.00689   0.00229  -0.0982   0.4457   1.0000
   3.250   0.8152   0.00717   0.00239  -0.0959   0.4100   1.0000
   3.500   0.8322   0.00743   0.00251  -0.0937   0.3822   1.0000
   3.750   0.8514   0.00762   0.00261  -0.0919   0.3652   1.0000
   4.000   0.8709   0.00781   0.00273  -0.0902   0.3507   1.0000
   4.250   0.8903   0.00801   0.00286  -0.0885   0.3375   1.0000
   4.500   0.9111   0.00816   0.00299  -0.0870   0.3291   1.0000
   4.750   0.9311   0.00836   0.00313  -0.0854   0.3199   1.0000
   5.000   0.9532   0.00847   0.00325  -0.0842   0.3146   1.0000
   5.250   0.9742   0.00864   0.00339  -0.0828   0.3078   1.0000
   5.500   0.9946   0.00884   0.00355  -0.0813   0.2998   1.0000
   5.750   1.0173   0.00895   0.00367  -0.0802   0.2956   1.0000
   6.000   1.0381   0.00915   0.00383  -0.0788   0.2853   1.0000
   6.250   1.0595   0.00933   0.00400  -0.0775   0.2748   1.0000
   6.500   1.0802   0.00955   0.00417  -0.0762   0.2636   1.0000
   6.750   1.1020   0.00973   0.00434  -0.0750   0.2548   1.0000
   7.000   1.1223   0.00998   0.00453  -0.0735   0.2424   1.0000
   7.250   1.1427   0.01023   0.00473  -0.0721   0.2276   1.0000
   7.500   1.1602   0.01063   0.00500  -0.0703   0.2046   1.0000
   7.750   1.1743   0.01120   0.00539  -0.0678   0.1725   1.0000
   8.000   1.1872   0.01180   0.00585  -0.0652   0.1450   1.0000
